sep=;
TÍTULO;AUTOR;AUTOR INSTITUCIONAL;AÑO;EDITOR;REUNIÓN;SIGNATURA;CÓDIGO DOC;ICS;DESCRIPTORES;RESUMEN
"Informe";"Carosio, Alicia A.";"Centro de Investigación Documentaria (CID)";"1987";"s.ed.";"";"3050";"";"";"Bibliotecas; Centros de información; Productividad; Incentivos; CID";""
"Una experiencia en el suministro de información";"Morello, Vilma M.; Hepburn, María Cristina";"Centro de Investigación Documentaria (CID)";"1980";"s.ed.";"Congreso argentino de microfilmación, 1. AR. 1980";"3204";"";"";"Bibliotecas; INTI; CID; Centros de Información; Información Científico Técnica; Traducciones; Reprografía";""
"Bibliotecas especializadas";"Silva, Carmen L.; Silva, Delfina A.";"Centro de Investigación de Celulosa y Papel (CICELPA) // Centro de Investigaciones Textiles (CIT)";"1988";"s.ed.";"";"3305";"";"";"Directorios; Bibliotecas Especializadas; Ministerios; Tratamiento de la Información; Legislación";""
"LISA Dialog information retrieval service";"";"";"1980";"Dialog";"";"002.6/D536/2";"";"";"Bases de datos; Bibliotecas; Sistemas de información; Bibliotecología; Automatización; Reprografía";""
"Projeto de modernizaçao administrativa da Biblioteca central da Universidade de Brasilia";"Sa Barreto, M.H. de; Junior, A. Cordeiro";"Universidade de Brasilia";"1980";"s.ed.";"Reunión de bibliotecas universitarias y nacionales latinoamericanas. CL. 1984";"007:02/R444/ 3";"";"";"Bibliotecas universitarias; Universidades; Automatización; Brasil";""
"Reglas de catalogación angloamericanas II: diferencias con la primera edición del capítulo 21; elección de puntos de acceso";"Amaya de Heredia, M.; Torres Arancibia, A.M.";"Pontificia Universidad Católica de Chile";"1984";"Pontificia Universidad Católica de Chile";"Reunión de bibliotecas universitarias y nacionales latinoamericanas. CL. 1984";"007:02/R444/ 2";"";"";"Catalogación; Normas";""
"Pauta para la recolección de información básica sobre automatización de procesos bibliotecarios";"";"";"s.f.";"s.ed.";"Reunión de bibliotecas universitarias y nacionales latinoamericanas. CL. 1984";"007:02/R444/ 1";"";"";"Bibliotecas; Procesamiento de datos; Automatización; Computación";""
"Bases de datos bibliográficos en Chile: una alternativa para la búsqueda de información";"Burgos M., E.A.; Gómez F., H.";"";"s.f.";"s.ed.";"Reunión de bibliotecas universitarias y nacionales latinoamericanas. CL. 1984";"007:02/R444/ 4";"";"";"Bases de datos; Recuperación de información; Archivos computarizados";""
"Uso de bases de dados por paises em desenvolvimento: problemas e perspectivas";"Cunha, M. Bastos da";"Universidade de Brasilia";"1984";"s.ed.";"Reunión de bibliotecas universitarias y nacionales latinoamericanas. CL. 1984";"007:02/R444/ 5";"";"";"Bases de datos; Recuperación de información";""
"Automatización en la biblioteca nacional como factor de desarrollo de la red de bibliotecas universitarias brasileñas";"Barroso, M.A.";"";"s.f.";"s.e.";"Reunión de bibliotecas universitarias y nacionales latinoamericanas. CL. 1984";"007:02/R444/ 6";"";"";"Bibliotecas nacionales; Automatización; Redes de información; Bibliotecas universitarias";""
"Soportes lógicos portátiles para el tratamiento de la información";"";"Programa General de Información (PGI/UNISIST)";"1984";"s.ed.";"Reunión de bibliotecas universitarias y nacionales latinoamericanas. CL. 1984";"007:02/R444/ 7";"";"";"Computadoras digitales; Recuperación de información; Archivos computarizados";""
"Bases para un trabajo cooperativo entre bibliotecas nacionales y universitarias: el caso de Venezuela";"Betancourt Valverde, V.; Villalba Anzola, L.";"";"s.f.";"s.ed.";"Reunión de bibliotecas universitarias y nacionales latinoamericanas. CL. 1984";"007:02/R444/ 8";"";"";"Bibliotecas nacionales; Bibliotecas universitarias; Universidades; Redes de información; Venezuela";""
"Automatización del Centro catalográfico centroamericano, biblioteca, documentación e información de la Universidad de Costa Rica";"Araya Marín, A.";"";"1984";"Ciudad universitaria Rodrigo Facio";"Reunión de bibliotecas universitarias y nacionales latinoamericanas. CL. 1984";"007:02/R444/10";"";"";"Bibliotecas universitarias; Automatización; Microcomputadoras; Catalogación; Catálogos";""
"Sistema colombiano de información bibliográfica (SCIB)";"Cardona de Gil, B.N.";"";"1984";"Pontificia Universidad Católica de Chile";"Reunión de bibliotecas universitarias y nacionales latinoamericanas. CL. 1984";"007:02/R444/11";"";"";"Sistemas de información; Bases de datos; Recuperación de información; Colombia";""
""Librunam" en la automatización de la Biblioteca general de la Universidad de los Andes, Colombia";"Pardo, R.";"Universidad de Los Andes";"s.f.";"Universidad de los Andes";"Reunión de bibliotecas universitarias y nacionales latinoamericanas. CL. 1984";"007:02/R444/14";"";"";"Bibliotecas universitarias; Automatización; Sistemas de información; Colombia";""
"El programa de la IFLA relativo a la disponibilidad universal de publicaciones (UAP)";"Vickers, S.";"Organización de las Naciones Unidas para la Educación, la Ciencia y la Cultura (UNESCO)";"1984";"UNESCO";"Reunión de bibliotecas universitarias y nacionales latinoamericanas. CL. 1984";"007:02/R444/15";"";"";"Publicaciones; Publicaciones periódicas; Sistemas de información";""
"Pauta para la descripción de un paquete de software para procesos bibliográficos";"";"Instituto Colombiano para el Fomento de la Educación Superior (ICFES)";"s.f.";"ICFES";"Reunión de bibliotecas universitarias y nacionales latinoamericanas. CL. 1984";"007:02/R444/23";"";"";"Software; Lenguajes de programación; Sistemas de información";""
"Reglas AACR2 en español";"Vargas Bolaños, M.J.";"";"1984";"s.ed.";"Reunión de bibliotecas universitarias y nacionales latinoamericanas. CL. 1984";"007:02/R444/22";"";"";"Catalogación; Normas";""
"La cooperación en el entrenamiento de usuarios";"Arias Ordoñez, J.";"";"s.f.";"s.ed.";"Reunión de bibliotecas universitarias y nacionales latinoamericanas. CL. 1984";"007:02/R444/20";"";"";"Bibliotecas; Educación; Usuarios";""
"Sistema de información y documentación para la educación superior";"Arias Ordoñez, J.";"Instituto Colombiano para el Fomento de la Educación Superior (ICFES)";"1984";"ICFES";"Reunión de bibliotecas universitarias y nacionales latinoamericanas. CL. 1984";"007:02/R444/19";"";"";"Bibliotecas; Sistemas de información; Educación; Universidades";""
"Elementos para un nuevo enfoque del problema de la educación de usuarios en los países en desarrollo";"Robredo, J.; Coelho, C. Villares; Cunha, M. Bastos da";"Universidad de Brasilia";"1984";"Pontificia Universidad Católica de Chile";"Reunión de bibliotecas universitarias y nacionales latinoamericanas. CL. 1984";"007:02/R444/18";"";"";"Bibliotecas; Educación; Usuarios";""
"Formato MARC-UC para monografías: versión preliminar";"";"Pontificia Universidad Católica de Chile";"1984";"Pontificia Universidad Católica de Chile";"Reunión de bibliotecas universitarias y nacionales latinoamericanas. CL. 1984";"007:02/R444/24";"";"";"Lenguajes de programación; Catalogación; Programación; Formatos";""
"Contribución a la región: red de documentación integrada de la Unesco";"Gianelli de Blasco, S.";"Oficina Regional de Ciencia y Tecnología para América Latina y el Caribe (ROSTLAC)";"1984";"ROSTLAC";"Reunión de bibliotecas universitarias y nacionales latinoamericanas. CL. 1984";"007:02/R444/17";"";"";"Redes de información; UNESCO";""
"Aspectos del desarrollo de una red de bibliotecas";"Wetherbee, L.V.";"AMIGOS Bibliographic Council";"1984";"s.ed.";"Reunión de bibliotecas universitarias y nacionales latinoamericanas. CL. 1984";"007:02/R444/16";"";"";"Redes de información; Bibliotecas";""
"COMUT: evolución histórica y perspectivas";"Rodrigues, R.C.";"";"s.f.";"s.ed.";"Reunión de bibliotecas universitarias y nacionales latinoamericanas. CL. 1984";"007:02/R444/21";"";"";"Conmutación bibliográfica; Sistemas de información";""
"AMIGOS: una exitosa experiencia en redes de bibliotecas";"Wetherbee, L.V.";"";"s.f.";"s.ed.";"Reunión de bibliotecas universitarias y nacionales latinoamericanas. CL. 1984";"007:02/R444/26";"";"";"Redes de información; Bibliotecas";""
"El sistema de información bibliográfica de la Pontificia Universidad Católica de Chile (SIBUC)";"Arenas, M.L.; Mayo Israel, J.de; Cifuentes Seves, R.";"";"s.f.";"Pontificia Universidad Católica de Chile";"Reunión de bibliotecas universitarias y nacionales latinoamericanas. CL. 1984";"007:02/R444/25";"";"";"Sistemas de información; Bases de datos; Redes de información; Bibliotecas; Chile";""
"Proyecto para la implementación del sistema de autoridades bibliográficas del ICFES en la parte referente a autores corporativos";"Cárdenas de Fernández, L.";"";"1984";"Pontificia Universidad Católica de Chile";"Reunión de bibliotecas universitarias y nacionales latinoamericanas. CL. 1984";"007:02/R444/ 9";"";"";"Catalogación; Términos de indización";""
"NOTIS: características y aplicación en Venezuela";"Castillo de Soto, A.";"";"1984";"s.ed.";"Reunión de bibliotecas universitarias y nacionales latinoamericanas. CL. 1984";"007:02/R444/12";"";"";"Automatización; Sistemas de información; Bibliotecas; Venezuela";""
"Uma experiencia de aplicaçao do computador no ensino da biblioteconomia e ciencia da informaçao";"Robredo, J.";"";"1984";"s.ed.";"Reunión de bibliotecas universitarias y nacionales latinoamericanas. CL. 1984";"007:02/R444/13";"";"";"Automatización; Sistemas de información; Computadoras; Bibliotecas";""
"Sistema nacional de bibliotecas y servicios de información en Barbados: informe de consultoría (septiembre 1981)";"Keren, C.";"";"1983";"IDRC";"";"007/K39";"";"";"Sistemas de información; Bibliotecas; Recursos humanos; Presupuesto; Capacitación";""
"Use of chemical literature";"Bottle, R.T. (ed.");"";"1979";"Butterworths";"";"54:016/B751";"";"";"Química; Información científico técnica; Fuentes de información; Bibliotecas; Centros de información; Manejo de la información; Publicaciones técnicas; Patentes; Recuperación de información";""
"Informe final";"";"";"1982";"UNESCO";"Organización de las Naciones Unidas para la Educación, la Ciencia y la Cultura (UNESCO), Paris, FR // Federación Internacional de Asociaciones de Bibliotecarios y de Bibliotecas (IFLA). Congreso internacional sobre disponibilidad universal de publicaciones. FR. 1982";"002/007/O68/PGI-82/UAP/6";"";"";"Publicaciones periódicas";""
"International inventory of software packages in the information field";"Keren, C. (ed.); Sered, I. (ed.");"Organización de las Naciones Unidas para la Educación, la Ciencia y la Cultura (UNESCO)";"1983";"UNESCO";"";"002/007/O68/PGI-83/WS/28";"";"";"Software; Sistemas de información; Bibliotecas; Microcomputadoras; Programación; Procesamiento de datos";""
